"PLANNING DU 1ER SEMESTRE 2017/2018 - MASTER MVA ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","salle C103","","Salle C109","salle C102","","","","","","","","","","","","","","","","","","","","",""
"semaine 49","","","","","","","","","","","","","","","","","","","","","","","","",""
"lundi 4 décembre 2017","mardi 5 décembre 2017","mercredi 6 décembre 2017","jeudi 7 décembre 2017","vendredi 8 décembre 2017","","","","","","","","","","","","","","","","","","","","",""
"","08h45 - 10h45","09h00 - 12h00","09h00 - 12h15","09h00-13h00","","","","","","","","","","","","","","","","","","","","",""
"","Introduction to Statistical Learning","Probabilistic Graphical Models","TP Introduction à l'imagerie numérique","Computational Statistics","","","","","","","","","","","","","","","","","","","","",""
"","N, Vayatis","Bach / Obozinski","Gousseau / Delon","S.Allassonnière","","","","","","","","","","","","","","","","","","","","",""
"","Salle Condorcet","Amphi Marie Curie","Telecom Salle C133","Amphi Curie / TP C109","","","","","","","","","","","","","","","","","","","","",""
"10h30-12h30","11h00 -13h00","","13h30 - 18h45","","","","","","","","","","","","","","","","","","","","","",""
"Graphs in Machine Learning","Analyse topologique de données","","Méthodes mathématiques pour les
  neurosciences","","","","","","","","","","","","","","","","","","","","","",""
"M, Valko","J.Tierny / F.Chazal","","Tanre / Veltz","","","","","","","","","","","","","","","","","","","","","",""
"Salle Condorcet","Salle C103","","Jussieu, salle à venir","","","","","","","","","","","","","","","","","","","","","",""
"13h45-16h45","11h00 - 13h00","13h30 - 16h30","13h30 - 16h00","","","","","","","","","","","","","","","","","","","","","",""
"Discrete Inference and Learning","Reinforcement Learning","TP Optimisation et caractéristiques des minimiseurs. Application aux images.","Sub-pixel Image Processing","","","","","","","","","","","","","","","","","","","","","",""
"N.Paragios/Y.Tarabalka/K.Alahari","A, Lazaric","S.Ladjal","L, Moisan","","","","","","","","","","","","","","","","","","","","","",""
"CentraleSupélec Salle à confirmer","Salle Condorcet","Salle C109","Salle C103","","","","","","","","","","","","","","","","","","","","","",""
"14h00 -16h00","16h15 - 19h15","","16h15 - 18h15","","","","","","","","","","","","","","","","","","","","","",""
"TP Analyse topologique de données","Object Recognition and Computer 
 Vision","","TP-Sub-pixel Image Processing","","","","","","","","","","","","","","","","","","","","","",""
"J.Tierny / F.Chazal","Ponce / Sivic","","L, Moisan","","","","","","","","","","","","","","","","","","","","","",""
"Salle C109","ENS Ulm Immeuble Rataud Amphi Galois","","Salle C109","","","","","","","","","","","","","","","","","","","","","",""
"","16h00-18h00","","","","","","","","","","","","","","","","","","","","","","","",""
"","Lecture Group: foundations and theory of mathematics for learning & vision","","","","","","","","","","","","","","","","","","","","","","","",""
"","V.Perchet","","","","","","","","","","","","","","","","","","","","","","","",""
"","salle C103","","","","","","","","","","","","","","","","","","","","","","","",""
"semaine 50","","","","","","","","","","","","","","","","","","","","","","","","",""
"lundi 11 décembre 2017","mardi 12 décembre 2017","mercredi 13 décembre 2017","jeudi 14 décembre 2017","vendredi 15 décembre 2017","","","","","","","","","","","","","","","","","","","","",""
"","08h45 - 10h45","FORUM DE L'EMPLOI MATHS Centre des Congrès Cité des Sciences et de l'Industrie Paris La Villette http://www.forum-emploi-maths.org","09h00 - 12h15","09h00-13h00","","","","","","","","","","","","","","","","","","","","",""
"","Introduction to Statistical Learning","","Introduction à l'imagerie numérique","Computational Statistics","","","","","","","","","","","","","","","","","","","","",""
"","N, Vayatis","","Gousseau / Delon","S.Allassonnière","","","","","","","","","","","","","","","","","","","","",""
"","Salle Condorcet","","Telecom Salle C49","Salle Condorcet / TP C109","","","","","","","","","","","","","","","","","","","","",""
"10h30-12h30","11h00 -13h00","","","","","","","","","","","","","","","","","","","","","","","",""
"Graphs in Machine Learning","TP Analyse topologique de données","09h00 - 12h00  Probabilistic Graphical Models","","","","","","","","","","","","","","","","","","","","","","",""
"M, Valko","J.Tierny / F.Chazal","Bach / Obozinski","","","","","","","","","","","","","","","","","","","","","","",""
"Salle Condorcet","Salle C109","Amphi Marie Curie","","","","","","","","","","","","","","","","","","","","","","",""
"14h00 - 18h00","11h00 - 15h00","13h30 - 16h30","13h30 - 16h00","14h00-18h00","","","","","","","","","","","","","","","","","","","","",""
"Advanced Learning for Text and
  Graph Data (ALTeGraD)","Advanced Learning for Text and
  Graph Data (ALTeGraD)","TP Optimisation et caractéristiques des minimiseurs. Application aux images.","Sub-pixel Image Processing","Advanced Learning for Text and
  Graph Data (ALTeGraD)","","","","","","","","","","","","","","","","","","","","",""
"M, Vazirgiannis","M, Vazirgiannis","S Ladjal","L, Moisan","M, Vazirgiannis","","","","","","","","","","","","","","","","","","","","",""
"Salle Condorcet","Amphi Marie Curie","Salle C109","Salle C103","ENS Cachan amphi Curie","","","","","","","","","","","","","","","","","","","","",""
"13h45-16h45","16h15 - 19h15","","16h15 - 18h15","","","","","","","","","","","","","","","","","","","","","",""
"Discrete Inference and Learning","Object Recognition and Computer 
 Vision","","TP-Sub-pixel Image Processing","","","","","","","","","","","","","","","","","","","","","",""
"N.Paragios/Y.Tarabalka/K.Alahari","Ponce / Sivic","","L, Moisan","","","","","","","","","","","","","","","","","","","","","",""
"CentraleSupélec Salle à confirmer","ENS Ulm Immeuble Rataud Amphi Galois","","Salle C109","","","","","","","","","","","","","","","","","","","","","",""
"","16h00-18h00","","","15h00-17h00","","","","","","","","","","","","","","","","","","","","",""
"","Lecture Group: foundations and theory of mathematics for learning & vision","","","Lecture Group: foundations and theory of mathematics for learning & vision","","","","","","","","","","","","","","","","","","","","",""
"","V.Perchet","","","V.Perchet","","","","","","","","","","","","","","","","","","","","",""
"","salle C103","","","salle C102","","","","","","","","","","","","","","","","","","","","",""
"semaine 51","","","","","","","","","","","","","","","","","","","","","","","","",""
"lundi 18 décembre 2017","mardi 19 décembre 2017","mercredi 20 décembre 2017","jeudi 21 décembre 2017","vendredi 22 décembre 2017","","","","","","","","","","","","","","","","","","","","",""
"","08h45 - 10h45","09h00 - 12h00   ","09h00 - 12h15","","","","","","","","","","","","","","","","","","","","","",""
"","Introduction to Statistical Learning","Probabilistic graphical models","Introduction à l'imagerie numérique","","","","","","","","","","","","","","","","","","","","","",""
"","N, Vayatis","Bach / Obozinski","Gousseau / Delon","","","","","","","","","","","","","","","","","","","","","",""
"","Salle Condorcet","Amphi Marie Curie","Telecom Salle C49","","","","","","","","","","","","","","","","","","","","","",""
"10h30-12h30","11h00 - 13h00","","","","","","","","","","","","","","","","","","","","","","","",""
"Graphs in Machine Learning","Reinforcement Learning","","","","","","","","","","","","","","","","","","","","","","","",""
"M, Valko","A, Lazaric","","","","","","","","","","","","","","","","","","","","","","","",""
"Salle Condorcet","Salle Condorcet","","","","","","","","","","","","","","","","","","","","","","","",""
"14h00-17h00","","13h30 - 17h00","14h00 - 18h00","","","","","","","","","","","","","","","","","","","","","",""
"SéminaireAnalyse topologique de données","","Introduction to Medical Image Analysis","Advanced Learning for Text and
  Graph Data (ALTeGraD)","","","","","","","","","","","","","","","","","","","","","",""
"J.Tierny / F.Chazal","","H, Delingette / X. Pennec","M, Vazirgiannis","","","","","","","","","","","","","","","","","","","","","",""
"Salle C103","","Salle C102","Amphi Marie Curie","","","","","","","","","","","","","","","","","","","","","",""
"EXAMEN13h45-16h45","16h15 - 19h15","13h30 - 16h30","","","","","","","","","","","","","","","","","","","","","","",""
"Discrete Inference and Learning","Object Recognition and Computer 
 Vision","Optimisation et caractéristiques des minimiseurs. Application aux images.","","","","","","","","","","","","","","","","","","","","","","",""
"N.Paragios/Y.Tarabalka/K.Alahari","Ponce / Sivic","M.Nikolova","","","","","","","","","","","","","","","","","","","","","","",""
"CentraleSupélec Salle à confirmer","ENS Ulm Immeuble Rataud Amphi Galois","Salle C103","","","","","","","","","","","","","","","","","","","","","","",""
"","16h00-18h00","","","","","","","","","","","","","","","","","","","","","","","",""
"","Lecture Group: foundations and theory of mathematics for learning & vision","","","","","","","","","","","","","","","","","","","","","","","",""
"","V.Perchet","","","","","","","","","","","","","","","","","","","","","","","",""
"","salle C103","","","","","","","","","","","","","","","","","","","","","","","",""
"semaine 52","","","","","","","","","","","","","","","","","","","","","","","","",""
"lundi 25 décembre 2017","mardi 26 décembre 2017","mercredi 27 décembre 2017","jeudi 28 décembre 2017","vendredi 29 décembre 2017","","","","","","","","","","","","","","","","","","","","",""
"","VACANCES BIEN MERITÉES","","","","","","","","","","","","","","","","","","","","","","","",""
